Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,2890.16921993897,2768.44611081728,2725.55462756983,2948.57298820179,3430.91351946936,4120.75881414659,4770.61086344643,5419.59957171543,6660.0696885306,5708.70928552045,6556.98797413176,7016.13664676607,7479.25408461195,7465.45547070586,7414.31210944321,6359.90057838383
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,622.740922945281,694.423455373229,783.241214960091,930.125472654125,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.86138084833,2994.34047090816,3218.37829927419,3525.80719813557,3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,20614.7993478518,20417.7759623298,20654.4885167631,21070.0717223168,22834.2846487073,23591.1598383737,24495.0153945714,26452.2319491525,28048.1517706491,25170.8323632477,24134.473859403,25849.9640060328,25496.8439417217,26442.4268006965,26895.0571665314,28399.0501310163
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,21697.7084797731,19527.3235767954,20117.7888912664,23492.4051742272,30513.9417409748,34080.9998953245,36117.487983674,41001.1429790999,49654.9105957389,42783.3225651148,52087.9722888891,62574.1457032412,68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,655.119945170816,703.683843432722,763.080637985358,883.733971498452,1045.00937916805,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5843.5337683582,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408
"GDP per capita (current US$),NY.GDP.PCAP.CD,""Bahamas, The"",BHS,27098.1563186767,27486.2367737544,28867.0824977166,28327.8136706662,28396.0137099278,30279.3922080481,30713.7980618188,31472.2855356015,30627.3277467412,28552.5171624714,28443.8884756689,28005.9124040903,29485.8642228279,28768.7723675108,30154.7386172007,31699.3586317477"
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,13636.4167499288,12868.1769170821,13049.9097291643,14222.0367965749,15846.5059474506,17959.3968267194,19307.5089373876,20976.442287272,23066.4509824376,19355.9210050895,20722.0704900745,22514.202716483,23654.3695877495,24744.296958551,24989.437527708,22634.0856475674
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,418.068942112038,415.034404287378,413.080282638086,446.310675745944,475.291930195819,499.461940239156,509.640189887604,558.051840707954,634.987069668507,702.264419644314,781.153577677298,861.762162181077,883.117129615718,981.860851354457,1118.87380783368,1248.45330989613
