Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gabon","GAB","58.264","57.968","57.791","57.759","57.885","58.181","58.641","59.229","59.904","60.637","61.4","62.168","62.924","63.648","64.318","64.913","65.418","65.839","66.187","66.467","66.69"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gambia, The","GMB","55.956","56.359","56.761","57.159","57.553","57.939","58.313","58.671","59.012","59.334","59.637","59.917","60.178","60.426","60.667","60.91","61.166","61.44","61.735","62.05","62.383"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Georgia","GEO","69.902","70.065","70.22","70.349","70.451","70.538","70.635","70.765","70.946","71.18","71.46","71.773","72.097","72.412","72.707","72.973","73.207","73.414","73.6","73.767","73.919"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Germany","DEU","77.9268292682927","78.3292682926829","78.2292682926829","78.3804878048781","78.6804878048781","78.9317073170732","79.1317073170732","79.5341463414634","79.7365853658537","79.8365853658537","79.9878048780488","80.4365853658537","80.5390243902439","80.490243902439","81.090243902439","80.6414634146341","80.990243902439","80.9926829268293","80.8926829268293","81.2926829268293","80.9414634146342"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ghana","GHA","57.002","57.158","57.425","57.785","58.225","58.719","59.234","59.741","60.216","60.645","61.03","61.381","61.72","62.064","62.416","62.772","63.124","63.463","63.78","64.074","64.347"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gibraltar","GIB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greece","GRC","77.8878048780488","78.3878048780488","78.6414634146341","78.8414634146341","79.0390243902439","79.2390243902439","79.4390243902439","79.4390243902439","79.9390243902439","80.1878048780488","80.3878048780488","80.7317073170732","80.6341463414634","81.2853658536585","81.3853658536585","81.0365853658537","81.3878048780488","81.2878048780488","81.7878048780488","81.6390243902439","81.0878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greenland","GRL","66.2224390243903","66.7092682926829","67.1963414634146","68.1148780487805","68.5926829268293","68.4273170731707","68.6665853658537","69.3726829268293","70.0151219512195","70.5319512195122","70.2919512195122","69.8541463414634","70.55","71.5734146341464","71.9856097560976","71.9773170731707","71.8251219512195","71.579756097561","71.8865853658537","72.0475609756098","71.4046341463415"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guam","GUM","75.011","75.373","75.726","76.065","76.387","76.687","76.966","77.227","77.474","77.71","77.941","78.173","78.408","78.649","78.895","79.144","79.391","79.631","79.859","80.074","80.277"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guatemala","GTM","67.849","68.304","68.717","69.092","69.437","69.762","70.082","70.409","70.75","71.108","71.481","71.861","72.236","72.596","72.935","73.25","73.541","73.81","74.063","74.302","74.529"
